"user_id","first_policy","returningpolicies"
"01e3b7a3-654c-49c0-9fbe-94ca7f677fb0",2394.42,
"03a6680f-1890-4b51-ba5d-766f3d0f0faf",916.9599999999996,
"03fc9ea9-9404-421f-aaf9-a990db3bf9fc",864.9000000000001,
"04bb1b46-f6a9-4af9-8f32-ccd59c847c19",294.0,1721.9
"0632b9b1-7f61-402b-b52e-3f8c868ab0ff",3807.5599999999986,
"065f4c84-9e8a-43ee-8671-5ece41e26cda",98.0,163.79
"06684cc5-6a1d-4bf0-b973-12813c8a14f6",948.0,
"0d987453-0306-4720-9c43-636b6a1049f2",2250.0,
"0ecb6604-63b1-455f-bb9b-bbdcd4f5a7d2",50.0,
"10f1269f-d0d5-467b-bb45-114fe296a6e7",190.19,882.26
"17752cde-1015-4b89-af30-6b29faf0a372",1409.3999999999999,
"19ebe761-f567-4e4f-abb9-7d3e900d958e",200.2,1349.92
"1a666222-ccd3-41aa-8718-eeb2b26ca36d",594.6,
"1d351f1c-258d-443e-89fc-ded705d387b2",1539.1399999999994,3025.61
"2142e59a-335d-414e-a474-2849c644ddc8",156.16,
"276f679b-c9aa-4738-b046-2dc791080dd1",1819.3300000000002,1401.4
"27911838-b2fb-4e7f-b6cf-976ad171b83c",948.0,
"286ba896-69d4-4eba-a620-b25eb76fa543",4911.150000000001,
"28b52674-9558-4938-bdf1-5927e41e3760",588.0,201.43
"2a5f7df8-bb01-4b87-b045-a9c2714415e3",6370.36,959.97
"2b569307-e7e5-4021-98d4-479219357e86",3360.0,
"2e10b54b-79e9-483b-ab1c-8ae4bc1ffed2",236.76,2207.98
"33072d67-0828-4044-ad45-fd495103ede7",3541.3399999999983,
"3652d38b-fe93-453e-8832-75bf9d7e53a6",985.6700000000002,
"3791fd2f-f6fd-4a18-ba7d-1ef854642b88",1037.01,1300.18
"39327e8f-d4e6-43b7-9e07-b1e3e6850982",3853.9100000000008,2426.4
"39d8f5da-fb63-469c-900e-a292397f92a4",310.0,1441.0
"3afe546c-e03c-4751-9628-ae3cc0d1b173",945.95,
"3b970c0a-d583-4cd6-abe6-c4566484a452",854.7599999999999,2125.12
"3ebdca94-3043-4af8-bfb8-57321a6dfa0b",5154.21,4111.57
